,car_num,x_position,y_position,x_acce(m^2/s),y_acce(m^2/s),length(m),speed(m/s),LateralSpeed(m/s),accelaration(m^2/s),angel(du),roadID,LaneID,Lane_index,lane_position
0,xiaokeche1.0,676.143814082791,9133.90255095606,0.0,0.0,4.0,14.289456115363105,0.0,0.8984757675323625,178.8743373305232,mainlane01,mainlane01_0,0.0,1903.8517495838448
1,xiaokeche1.1,670.8728879027034,9400.965604864827,-2.4621027752880433,0.0,4.0,11.827353340075062,0.0,-0.011922822403720446,178.85423716182484,mainlane01,mainlane01_0,0.0,1637.049056002814
2,xiaokeche1.10,676.1220647381713,9772.876336083511,0.9776078379118776,0.0,4.0,12.80496117798694,0.0,0.9031782281119369,181.551066428526,mainlane01,mainlane01_2,2.0,1264.2181128249608
3,xiaokeche1.11,669.7098531758676,9807.60297058472,-0.10926403707279242,0.0,4.0,12.695697140914147,0.0,0.08924517256673425,182.17185301664585,mainlane01,mainlane01_0,0.0,1230.827772089977
4,xiaokeche1.12,680.6460506072196,9798.521203312665,0.4603662486658511,0.0,4.0,13.156063389579998,0.0,0.0943211041081149,182.00815008836204,mainlane01,mainlane01_3,3.0,1237.8932178197344
5,xiaokeche1.13,675.4348411337971,9916.889570824482,-1.2257279529459897,0.0,4.0,11.930335436634008,0.0,-0.3262579961214218,183.90753282973327,mainlane01,mainlane01_0,0.0,1121.514578202472
6,xiaokeche1.14,690.0582109872239,9910.853911261742,1.4602004063549892,0.0,4.0,13.390535842988998,0.0,0.01426151599734915,183.81542985688858,mainlane01,mainlane01_4,4.0,1124.604144757438
7,xiaokeche1.15,682.2698108370456,10001.348204418846,-0.44134699369872266,0.0,4.0,12.949188849290275,0.0,0.9632609657153637,185.39143174130513,mainlane01,mainlane01_0,0.0,1036.8767632284205
8,xiaokeche1.16,688.2411619812359,9938.146752125316,0.3505214248096351,0.0,4.0,13.29971027409991,0.0,0.44049826681148296,184.33715094268513,mainlane01,mainlane01_3,3.0,1097.9695805048898
9,xiaokeche1.17,688.6989290561183,10063.754303089945,-0.8677363778006821,0.0,4.0,12.431973896299228,0.0,-0.2808363673044365,186.37770519394024,mainlane01,mainlane01_0,0.0,974.212843609646
